Country Name,1965,1975,1985,1995,2005,2015,,,,,,,,,,,,,,,,,11/5/17
New Caledonia,2.687731776,1.138532223,1.829518523,2.261522218,1.307208157,1.848481467,,,,,,,,,,,,,,,,,
Niger,2.884744393,2.819715737,2.868766883,3.495640925,3.675332562,3.835749885,,,,,,,,,,,,,,,,,
Nigeria,2.139652119,2.719163138,2.562732082,2.489434694,2.585221806,2.640357135,,,,,,,,,,,,,,,,,
Nicaragua,2.977574786,3.08262772,2.451918217,2.003865823,1.302755782,1.124975819,,,,,,,,,,,,,,,,,
Netherlands,1.372661105,0.891389955,0.46632652,0.493927373,0.233663148,0.443220089,,,,,,,,,,,,,,,,,
Norway,0.777327077,0.551888897,0.2994715,0.51912552,0.681072964,0.995084737,,,,,,,,,,,,,,,,,
Nepal,1.714557085,2.165051875,2.278298444,2.504674212,1.298702117,1.168998177,,,,,,,,,,,,,,,,,
Nauru,4.236262532,1.395835225,2.064222605,1.0790202,0.01977457,5.114564154,,,,,,,,,,,,,,,,,
New Zealand,1.649506117,1.945433727,0.617838918,1.464363787,1.12877351,1.889045125,,,,,,,,,,,,,,,,,
OECD members,1.265397864,1.085580445,0.744378194,0.787332448,0.704422425,0.651297705,,,,,,,,,,,,,,,,,
Oman,2.613334922,4.652368677,4.598190987,2.566587403,2.684492582,5.856170232,,,,,,,,,,,,,,,,,
Other small states,1.900463167,2.052057024,2.59438994,1.721736552,2.269063795,2.136700337,,,,,,,,,,,,,,,,,
Pakistan,2.576544991,2.912383317,3.296594753,2.522481926,2.054204195,2.045407255,,,,,,,,,,,,,,,,,
Panama,2.960575206,2.676567707,2.226538751,2.04829768,1.84623258,1.657882556,,,,,,,,,,,,,,,,,
Peru,2.854580987,2.641997799,2.305069332,1.760098227,1.228856048,1.293736852,,,,,,,,,,,,,,,,,
Philippines,3.124783972,2.812296101,2.704840566,2.316989966,1.866937543,1.599599197,,,,,,,,,,,,,,,,,
Palau,1.768467142,0.661902314,2.394085084,2.625007589,0.513725632,0.915489382,,,,,,,,,,,,,,,,,
Papua New Guinea,2.255176697,2.672964338,2.688964604,2.559301816,2.455866052,2.09300931,,,,,,,,,,,,,,,,,
Poland,0.976289384,0.993595532,0.803585475,0.135721034,-0.043948953,-0.066641101,,,,,,,,,,,,,,,,,
Pre-demographic dividend,2.469301885,2.853990272,2.650936355,2.917296442,2.938396098,2.914502102,,,,,,,,,,,,,,,,,
Puerto Rico,1.55144868,1.843916845,0.976322961,0.923749876,-0.144242361,-1.760676642,,,,,,,,,,,,,,,,,
"Korea, Dem. PeopleŠ—Ès Rep.",2.135454468,2.002510967,1.532563259,1.309020353,0.733387964,0.506566972,,,,,,,,,,,,,,,,,
Portugal,-0.407786764,3.80041404,0.273538752,0.346203938,0.185532267,-0.414141102,,,,,,,,,,,,,,,,,
Paraguay,2.649611681,2.446007645,2.875338044,2.329559796,1.595861903,1.311979829,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,4.477872882,2.555262373,2.924690711,,,,,,,,,,,,,,,,,
Pacific island small states,3.031830672,2.075936734,1.879973029,1.603081942,1.154410028,1.26626022,,,,,,,,,,,,,,,,,
Post-demographic dividend,1.11280395,0.8546834,0.517843324,0.547478888,0.50971545,0.454807652,,,,,,,,,,,,,,,,,
French Polynesia,3.602285225,3.215305854,2.782586935,1.695078955,1.228055484,0.79758329,,,,,,,,,,,,,,,,,
Qatar,8.597359664,6.735287999,8.320446889,1.246402888,13.07603946,4.412615624,,,,,,,,,,,,,,,,,
Romania,0.592612643,1.248292206,0.43815972,-0.202318796,-0.617530957,-0.470733511,,,,,,,,,,,,,,,,,
Russian Federation,1.110725847,0.573923976,0.776688028,0.026777506,-0.381473696,0.192558642,,,,,,,,,,,,,,,,,
Rwanda,2.227263561,3.081880979,3.969872099,-1.290822975,1.946106525,2.474094537,,,,,,,,,,,,,,,,,
South Asia,2.228270813,2.352544825,2.352327949,2.065793309,1.659386639,1.298039191,,,,,,,,,,,,,,,,,
Saudi Arabia,3.492221673,5.100056813,5.486658764,2.293143326,2.87182374,2.504137257,,,,,,,,,,,,,,,,,
Sudan,3.081193127,3.44445324,3.260765275,3.182933138,2.375213863,2.382469096,,,,,,,,,,,,,,,,,
Senegal,2.824402124,2.749266271,3.059734627,2.716848277,2.659851562,2.919161773,,,,,,,,,,,,,,,,,
Singapore,2.430051183,1.460269916,0.136645171,3.037813485,2.350511289,1.186376937,,,,,,,,,,,,,,,,,
Solomon Islands,3.015482775,3.746320551,3.033727808,2.82325195,2.491162632,2.059942864,,,,,,,,,,,,,,,,,
Sierra Leone,1.552033416,2.243098337,2.669388345,-0.205691764,3.941446232,2.205467123,,,,,,,,,,,,,,,,,
El Salvador,2.908716719,2.287851955,1.335644108,1.186275011,0.46860632,0.496901568,,,,,,,,,,,,,,,,,
San Marino,2.37298287,0.880480025,1.120397877,1.40488369,1.287320294,0.92354772,,,,,,,,,,,,,,,,,
Somalia,2.218075985,6.7372816,0.646754666,1.582101184,2.861881088,2.881205398,,,,,,,,,,,,,,,,,
Serbia,,,,-1.422967089,-0.300431133,-0.494772574,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (excluding high income),2.492780837,2.78291947,2.887091654,2.73842366,2.730003713,2.753472703,,,,,,,,,,,,,,,,,
South Sudan,2.090714011,2.516272044,2.42935994,0.510153424,4.041959991,2.999954993,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,2.4927901,2.782840409,2.886781016,2.738260303,2.729752744,2.753426153,,,,,,,,,,,,,,,,,
Small states,1.886904452,1.804099441,2.12667336,1.515944449,1.855644645,1.794094722,,,,,,,,,,,,,,,,,
Sao Tome and Principe,0.905376394,2.372766375,1.672632878,1.981480571,2.380484254,2.216631309,,,,,,,,,,,,,,,,,
Suriname,2.686824523,-0.671933801,1.030950914,1.518488782,1.071162476,0.959016955,,,,,,,,,,,,,,,,,
Slovak Republic,1.003466098,1.049610388,0.67395444,0.292632207,0.009809134,0.095033879,,,,,,,,,,,,,,,,,
Slovenia,1.038996033,0.977621393,0.489804905,0.0215615,0.173208905,0.075190689,,,,,,,,,,,,,,,,,
Sweden,0.941845549,0.397275735,0.165170619,0.524703942,0.399942763,1.057454686,,,,,,,,,,,,,,,,,
Swaziland,2.345540111,3.046175976,3.626085949,1.999261362,0.983230437,1.829661753,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,4.479641698,2.977647481,,,,,,,,,,,,,,,,,
Seychelles,2.511270082,2.311817635,0.81101698,1.47017209,0.463308214,2.229795053,,,,,,,,,,,,,,,,,
Syrian Arab Republic,3.26886704,3.408641727,3.396262015,2.797795891,2.703522648,-2.467846523,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,-0.667723444,3.133496635,4.419836622,4.912611937,5.518534294,1.762729622,,,,,,,,,,,,,,,,,
Chad,1.924014496,2.187077899,2.737474036,3.319718282,3.610293104,3.190940272,,,,,,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),2.475622217,1.962354534,1.60507564,1.260291497,0.816638187,0.721331548,,,,,,,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),1.399027382,1.057896895,1.011064306,0.123787868,0.089079489,0.541473954,,,,,,,,,,,,,,,,,
